doc_id,mention_count,inferred_status,source_conversations,sample_context
DC-SHI-001,1,complete,Mesh Home,"he SHI node including all tiers hardware fixture structural embeddings, software etc discussed in this chat This is the master integration document — DC-SHI-001, the complete technical specification t"
DC-SIM-000,1,referenced-only,💬 I have an idea for the dcentra…,"hensive detailed documentation of this conversation and the sub documentation Nine documents, ~1,455 lines, following your registry conventions.

- **DC-SIM-000** — index, document map, and the stop c"
DC-SIM-001,1,referenced-only,💬 I have an idea for the dcentra…,"documentation Nine documents, ~1,455 lines, following your registry conventions.

- **DC-SIM-000** — index, document map, and the stop condition
- **DC-SIM-001** — fidelity reference; the core artifac"
DC-SIM-002,1,referenced-only,💬 I have an idea for the dcentra…,"01** — fidelity reference; the core artifact, including the two traps that produce *wrong* conclusions (mesh link metrics, distributed inference)
- **DC-SIM-002** — topology, node inventory, compute s"
DC-SIM-003,1,executed,💬 I have an idea for the dcentra…,"t produce *wrong* conclusions (mesh link metrics, distributed inference)
- **DC-SIM-002** — topology, node inventory, compute sizing, repo layout
- **DC-SIM-003** — DC-OS Buildroot dual-arch spec, wit"
DC-SIM-004,1,executed,💬 I have an idea for the dcentra…,"*DC-SIM-002** — topology, node inventory, compute sizing, repo layout
- **DC-SIM-003** — DC-OS Buildroot dual-arch spec, with acceptance criteria
- **DC-SIM-004** — scenario catalogue and mandatory wr"
DC-SIM-005,1,executed,💬 I have an idea for the dcentra…,"*DC-SIM-003** — DC-OS Buildroot dual-arch spec, with acceptance criteria
- **DC-SIM-004** — scenario catalogue and mandatory write-up limitations
- **DC-SIM-005** — Cloud bridge, and the full-hardware"
DC-SIM-006,1,executed,💬 I have an idea for the dcentra…,"riteria
- **DC-SIM-004** — scenario catalogue and mandatory write-up limitations
- **DC-SIM-005** — Cloud bridge, and the full-hardware inversion
- **DC-SIM-006** — deployment ladder with the four reg"
DC-SIM-007,1,executed,💬 I have an idea for the dcentra…,"- **DC-SIM-005** — Cloud bridge, and the full-hardware inversion
- **DC-SIM-006** — deployment ladder with the four regulatory thresholds marked
- **DC-SIM-007** — DAO governance across the three laye"
DC-SIM-008,1,executed,💬 I have an idea for the dcentra…,"version
- **DC-SIM-006** — deployment ladder with the four regulatory thresholds marked
- **DC-SIM-007** — DAO governance across the three layers
- **DC-SIM-008** — open decisions, FCN resolution flag"
DC-SITE-001,2,executed,Coworker sessions context; Bio-inspired construction automation with swarm robotics,"The honest summary:** every layer above already exists as a specification. What this thread produced is a deployment surface, not new architecture — `DC-SITE-001` as an integration doc, not a program."
DC-SKY-001,2,draft,Coworker sessions context; SkyLedger and XaaS model recall,"can add your drone to the fleet, they can assist in farming, construction and other such services using the dcentral philosophy and architecture   **DC-SKY-001 v1.0** is drafted. Here's what's in it:
"
DC-SKY-002,1,executed,SkyLedger and XaaS model recall,"hon, enforces safety constraints at the hardware level before arming, and signs every telemetry packet with the drone's DID key.

**Still to build:** DC-SKY-002 through 006 — the edge agent spec, modu"
DC-SQS-001,1,executed,Mesh Home,"your vitals, the grounds keeper already knows which plants are stressed, the electrician already knows which circuit. Seven tabs. This is document **DC-SQS-001** — the capstone that everything else in"
DC-STATUS-001,12,complete,Mobile SOC center setup options; Bio-inspired construction automation with swarm robotics; Building the dcentral ecosystem through Company Zero; Coworker sessions context; Mesh Home; Fractal DAO granularity limits; D-Central ISP implementation in Haiti; Decentralized cooperative sales network for verified sellers; Decentralized ride-sharing with DIDs and verifiable credentials; AI-generated DAO governance and code risks; Building the D-Central sensor node POC; Decentralized ecosystem design through emergent coordination,"documented, practiced.

*The one that applies to you specifically.* Building the operating system can consume the company it was meant to run. That's DC-STATUS-001 restated at the firm level: 95% desi"
DC-STATUS-002,1,unclear,AI-generated DAO governance and code risks,"tests ✅, DSL determinism demo ✅, functioning multisig DAO ✅, two-node mesh ✅, LayRight in a paying (or at least piloting) contractor's hands. That's DC-STATUS-002 reading ""execution: begun"" — seven re"
DC-STATUS-003,1,unclear,AI-generated DAO governance and code risks,"ng the T1 spec — the commercial and residential architectures visibly converging
- **DSL paper submitted** somewhere real (workshop tier is fine)
- **DC-STATUS-003** written: honest audit, same as 001"
DC-SWARM-001,6,unclear,Mobile SOC center setup options; Bio-inspired construction automation with swarm robotics; 💬 I have an idea for the dcentra…; Decentralized ride-sharing with DIDs and verifiable credentials; GNS3 for decentralized ecosystem; Decentralized ecosystem design through emergent coordination,"oint. That's a live area (there's 2026 work on decision-focused learning for communication-free multi-robot allocation), and it's much closer to your DC-SWARM-001 thinking than the biomimetic-training"
DC-SWARM-002,1,executed,Bio-inspired construction automation with swarm robotics,"he uncomfortable part directly, because you've named it yourself in the status finding: the failure mode here isn't technical, it's that this becomes DC-SWARM-002 — beautifully specified, never run. T"
DC-TAG-001,1,unclear,Decentralized ecosystem design through emergent coordination,"ible split, and tag recyclability belongs in the spec.

**Registry treatment**

This is big enough to be its own document rather than an amendment: **DC-TAG-001 — Universal Object Layer**: the four-ti"
DC-TPL-000,2,draft,Mobile SOC center setup options; Decentralized ride-sharing with DIDs and verifiable credentials,"nverse of where the ecosystem has lived so far. Incorporation and the first subcontract invoice are still the gate for everything.

Want me to create DC-TPL-000 — the Template Standard itself (schema,"
DC-VENTURE-001,1,unclear,Mobile SOC center setup options,"ction (from club+security) — your document's ""synergistic"" tier emerges from operations rather than being founded cold.

Want me to formalize this as DC-VENTURE-001 — the venture sequencing registry w"
DC-XXX-001,3,complete,AI-generated DAO governance and code risks; Creating third places for men; Decentralized cooperative sales network for verified sellers,"2 companies, orbs, wearables, ISPs, drones, banking protocols, satellite stacks — and zero nodes deployed, zero customers, zero legal entity. Writing DC-XXX-001 documents produces the *feeling* of ins"
GEN1957,2,draft,Requesting course extensions due to work conflicts; Tackling assignments,"eline) embedded as in-world technical schematics Malik references, or keep the final piece pure prose? That affects how you draft it.

3. **Check the GEN1957 due date again.** From the original assign"
MAT8002,20,unclear,Mobile SOC center setup options; GPA calculation with course grades; MAT8002 Decimal Number System Guide; Creating additional midterm review documents; Weekly Academic Schedule Planning; Math assignment solutions; Course Schedule ICS Calendar; Weekly Schedule ICS Calendar; Tackling assignments; Semester success and study strategy; Statistics and probability problem set; Timeline; help me prepare for these cour...; Requesting course extensions due to work conflicts; Open source cybersecurity suite with AI integration; Coworker sessions context; CST8300 Course Curriculum Template; Academic assignment solution guide; Low-level programming labs prerequisites; Document transcription request,"rses, the flowchart diagram inlcudes the recommended study hours for each course; each course has a recommended amount of time for theory/lab/study,  MAT8002 3/0/3 CST8182 3/2/5 CST8207 3/2/4 CST8202 "
OS-CPFQ-001,1,complete,OS-PACS Haitian localization gap analysis,"ce exceeds DAO-configured threshold  All five ZK mechanisms, full notification with dispute rights, DAO-defined scope per deployment. Building now. **OS-CPFQ-001 v1.0** — validated, 481 paragraphs, CC"
OS-DCINT-001,1,draft,OS-PACS Haitian localization gap analysis,"documents before designing anything. Good. I now have a thorough picture of the entire D-Central ecosystem. Let me build the integration document. **OS-DCINT-001 v1.0** — validated, 595 paragraphs, CC"
OS-OSIP-001,1,unclear,OS-PACS Haitian localization gap analysis,"ble({` needs `})`. The fix is line 253 needs `})]` → closes TableRow `})`, closes children array `]`, then `})]` closes rows array. Let me rewrite: **OS-OSIP-001 v1.0** — validated, 485 paragraphs, li"
OS-SENSE-001,3,executed,Mesh Home; Timeline; Decentralized ecosystem design through emergent coordination,"ical research domain (spatial sensing, Li-Fi, LiDAR/ToF, NeRF, Gaussian Splatting, acoustic sensing) that maps directly onto the OpenSecure Platform (OS-SENSE-001, OS-PACS, OS-GUARDIAN, OS-SENTINEL, O"
